MillÇsime,Code rÇgion,Code EPCI,NOM EPCI,Code INSEE,Nom Commune,Code IRIS,IRIS,Numero,Lettre,Rue,Code CatÇgorie,Secteur d'activitÇ,Code_N1,LibellÇ_N1,Code_N2,LibellÇ_N2,Nombre de PDL,DonnÇes de consommation (MWh),donnÇes corrigÇes du climat,EPCI/EPT,LibellÇ de l'EPCI/EPT,Nature d'EPCI
2023,11,200054781,MÇtropole du Grand Paris,75118,PARIS 18E  ARRONDISSEMENT,751187011,Clignancourt 11,61,,RUE RAMEY,PRO,Tertiaire,,,,,2,"56,95522","61,0726444265299",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75116,PARIS 16E  ARRONDISSEMENT,751166302,Porte Dauphine 2,R,,RUE DE LONGCHAMP,PRO,Tertiaire,,,,,2,"56,95189","61,0690736931372",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75112,PARIS 12E  ARRONDISSEMENT,751124622,Picpus 22,129,,BOULEVARD DIDEROT,PRO,Tertiaire,,,,,2,"56,95143","61,0685804386746",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75120,PARIS 20E  ARRONDISSEMENT,751208011,Charonne 11,22,,RUE DU CLOS,PRO,Tertiaire,,,,,8,"56,9225","61,0375590221431",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75105,PARIS 5E  ARRONDISSEMENT,751051908,Val de Grace 8,R,,RUE DE L ARBALETE,PRO,Tertiaire,,,,,3,"56,91711","61,0317793665916",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75111,PARIS 11E  ARRONDISSEMENT,751114320,Roquette 20,,,Somme des donnÇes secrÇtisÇes IRIS (Roquette 20),PRO,Tertiaire,,,,,8,"56,91516","61,0296883965869",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75106,PARIS 6E  ARRONDISSEMENT,751062305,Notre Dame des Champs 5,R,,RUE DE RENNES,PRO,Tertiaire,,,,,7,"56,91265","61,0269969428886",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75108,PARIS 8E  ARRONDISSEMENT,751083105,Madeleine 5,15,,BOULEVARD MALESHERBES,PRO,Tertiaire,,,,,3,"56,91112","61,0253563356541",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75119,PARIS 19E  ARRONDISSEMENT,751197316,Villette 16,10,,RUE MATHIS,PRO,Tertiaire,,,,,1,"56,90654","61,0204452368738",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75118,PARIS 18E  ARRONDISSEMENT,751186906,Grandes Carrieres 6,143,,RUE LAMARCK,PRO,Tertiaire,,,,,1,"56,90313","61,0167887200963",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75116,PARIS 16E  ARRONDISSEMENT,751166412,Chaillot 12,20,,RUE AUGUSTE VACQUERIE,PRO,Tertiaire,,,,,1,"56,90067","61,0141508810135",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75117,PARIS 17E  ARRONDISSEMENT,751176601,Plaine Monceau 1,15,,RUE DE LA TERRASSE,PRO,Tertiaire,,,,,1,"56,88904","61,0016801214469",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75103,PARIS 3E  ARRONDISSEMENT,751030901,Arts et Metiers 1,R,,RUE NOTRE DAME DE NAZARETH,PRO,Tertiaire,,,,,6,"56,88724","60,9997499952887",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75116,PARIS 16E  ARRONDISSEMENT,751166102,Auteuil 2,25,,RUE FANTIN LATOUR,PRO,Tertiaire,,,,,1,"56,88531","60,9976804711302",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75101,PARIS 1ER ARRONDISSEMENT,751010401,Place Vendome 1,244,,RUE DE RIVOLI,PRO,Tertiaire,,,,,2,"56,88283","60,9950211862011",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75115,PARIS 15E  ARRONDISSEMENT,751155706,Saint-Lambert 6,397,,RUE DE VAUGIRARD,PRO,Tertiaire,,,,,1,"56,88202","60,9941526294299",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75107,PARIS 7E  ARRONDISSEMENT,751072810,Gros Caillou 10,10,,RUE MALAR,PRO,Tertiaire,,,,,1,"56,86843","60,9795801769356",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75108,PARIS 8E  ARRONDISSEMENT,751083207,Europe 7,29,,RUE DE SAINT PETERSBOURG,PRO,Tertiaire,,,,,1,"56,85677","60,9670772485997",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75114,PARIS 14E  ARRONDISSEMENT,751145304,Montparnasse 4,22,,RUE CELS,PRO,Tertiaire,,,,,1,"56,85521","60,9654044725959",217500016,T1-Ville de Paris,EPT
2023,11,200054781,MÇtropole du Grand Paris,75111,PARIS 11E  ARRONDISSEMENT,751114312,Roquette 12,,,Somme des donnÇes secrÇtisÇes IRIS (Roquette 12),PRO,Tertiaire,,,,,6,"56,84338","60,9527192545674",217500016,T1-Ville de Paris,EPT
