"REG_CODE";"REG_LIBELLE";"DEP_CODE";"DEP_LIBELLE";"COMM";"TYPE_DAU";"NUM_DAU";"ETAT_DAU";"DATE_REELLE_AUTORISATION";"DATE_REELLE_DOC";"DATE_REELLE_DAACT";"AN_DEPOT";"DPC_PREM";"DPC_AUT";"DPC_DOC";"DPC_DERN";"CAT_DEM";"APE_DEM";"CJ_DEM";"DENOM_DEM";"SIREN_DEM";"SIRET_DEM";"CODPOST_DEM";"LOCALITE_DEM";"REC_ARCHI";"ADR_NUM_TER";"ADR_TYPEVOIE_TER";"ADR_LIBVOIE_TER";"ADR_LIEUDIT_TER";"ADR_LOCALITE_TER";"ADR_CODPOST_TER";"SEC_CADASTRE1";"NUM_CADASTRE1";"SEC_CADASTRE2";"NUM_CADASTRE2";"SEC_CADASTRE3";"NUM_CADASTRE3";"SUPERFICIE_TERRAIN";"ZONE_OP";"NATURE_PROJET_DECLAREE";"NATURE_PROJET_COMPLETEE";"DESTINATION_PRINCIPALE";"TYPE_PRINCIP_LOGTS_CREES";"TYPE_TRANSFO_PRINCIPAL";"TYPE_PRINCIP_LOCAUX_TRANSFORMES";"I_EXTENSION";"I_SURELEVATION";"I_NIVSUPP";"NB_NIV_MAX";"UTILISATION";"RES_PRINCIP_OU_SECOND";"TYP_ANNEXE";"I_PISCINE";"I_GARAGE";"I_VERANDA";"I_ABRI_JARDIN";"I_AUTRE_ANNEXE";"RESIDENCE";"RES_PERS_AGEES";"RES_ETUDIANTS";"RES_TOURISME";"RES_HOTEL_SOCIALE";"RES_SOCIALE";"RES_HANDICAPES";"RES_AUTRE";"NB_LGT_TOT_CREES";"NB_LGT_IND_CREES";"NB_LGT_COL_CREES";"NB_LGT_INDIV_PURS";"NB_LGT_INDIV_GROUPES";"NB_LGT_RES";"NB_LGT_COL_HORS_RES";"NB_LGT_DEMOLIS";"NB_LGT_1P";"NB_LGT_2P";"NB_LGT_3P";"NB_LGT_4P";"NB_LGT_5P";"NB_LGT_6P_PLUS";"NB_LGT_PRET_LOC_SOCIAL";"NB_LGT_ACC_SOC_HORS_PTZ";"NB_LGT_PTZ";"SURF_HAB_AVANT";"SURF_HAB_CREEE";"SURF_HAB_ISSUE_TRANSFO";"SURF_HAB_DEMOLIE";"SURF_HAB_TRANSFORMEE";"SURF_LOC_AVANT";"SURF_LOC_CREEE";"SURF_LOC_ISSUE_TRANSFO";"SURF_LOC_DEMOLIE";"SURF_LOC_TRANSFORMEE";"SURF_HEB_TRANSFORMEE";"SURF_BUR_TRANSFORMEE";"SURF_COM_TRANSFORMEE";"SURF_ART_TRANSFORMEE";"SURF_IND_TRANSFORMEE";"SURF_AGR_TRANSFORMEE";"SURF_ENT_TRANSFORMEE";"SURF_PUB_TRANSFORMEE"
"11";"Île-de-France";"93";"Seine-Saint-Denis";"93051";"PC";"09305124C0011";6;"2024-06-04";"2024-06-04";"2024-06-20";2024;"2024-02";"2024-05";"2024-06";"2024-06";10;;;;;;"93160";"NOISY-LE-GRAND";"false";"13";;"rue du Layon";;"NOISY-LE-GRAND";"93160";"AN";"416";;;;;553;4;2;3;1;1;2;1;"true";"true";"false";0;5;1;7;"false";"false";"false";"false";"false";9;"false";"false";"false";"false";"false";"false";"false";1;1;0;1;;;0;0;0;0;0;0;0;0;0;0;0;50;137;38;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0
"11";"Île-de-France";"93";"Seine-Saint-Denis";"93051";"PC";"09305124C0019";2;"2024-06-04";;;2024;"2024-03";"2024-05";;"2024-05";32;"41.10D";6541;"SCCV 74 COSSONNEAU";"922413323";"92241332300010";"75017";"Paris";"true";"74";;"Avenue Emile Cossonneau";;"Noisy-le-Grand";"93160";"AZ";"158";;;;;1062;4;1;1;1;3;;;"false";"false";"false";5;2;1;7;"false";"false";"false";"false";"false";9;"false";"false";"false";"false";"false";"false";"false";31;0;31;;;;31;2;1;18;7;4;1;0;0;0;0;372;1762;0;372;0;929;0;0;929;0;0;0;0;0;0;0;0;0
"11";"Île-de-France";"93";"Seine-Saint-Denis";"93051";"PC";"09305124C0020";2;"2024-05-07";;;2024;"2024-03";"2024-05";;"2024-05";30;"68.20B";6599;"HB IMMO";"478086960";"47808696000034";"77420";"CHAMPS-SUR-MARNE";"true";"14";;"RUE LOUIS VAILLANT";;"Noisy-le-Grand";"93160";"AZ";"791";;;;;300;4;1;1;1;1;;;"false";"false";"false";2;5;1;7;"false";"false";"false";"false";"false";9;"false";"false";"false";"false";"false";"false";"false";1;1;0;1;;;0;0;0;0;0;0;1;0;0;0;0;39;166;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"11";"Île-de-France";"93";"Seine-Saint-Denis";"93051";"PC";"09305124C0024";2;"2024-06-28";;;2024;"2024-03";"2024-06";;"2024-06";32;"71.11Z";5710;"KIS ARCHITECTURE";"839087376";"83908737600019";"94360";"Bry-sur-Marne";"true";"28";;"Rue Pierre Brossolette";;"Noisy-le-Grand";"93160";"AW";"1099";;;;;147;4;1;1;1;1;;;"false";"false";"false";0;2;1;2;"false";"true";"false";"false";"false";9;"false";"false";"false";"false";"false";"false";"false";1;1;0;1;;;0;0;0;0;0;0;1;0;0;0;0;0;123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"11";"Île-de-France";"93";"Seine-Saint-Denis";"93051";"PC";"09305124C0025";2;"2024-06-28";;;2024;"2024-03";"2024-06";;"2024-06";32;"41.10D";6541;"SCCV 28 BROSSOLETTE";"952933729";"95293372900016";"94360";"Bry-sur-Marne";"true";"28";;"Rue Pierre Brossolette";;"Noisy-le-Grand";"93160";"AW";"1101";;;;;150;4;1;1;1;1;;;"false";"false";"false";0;2;1;2;"false";"true";"false";"false";"false";9;"false";"false";"false";"false";"false";"false";"false";1;1;0;1;;;0;0;0;0;0;0;1;0;0;0;0;0;123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"11";"Île-de-France";"93";"Seine-Saint-Denis";"93051";"PC";"09305124C0026";2;"2024-06-28";;;2024;"2024-03";"2024-06";;"2024-06";32;"41.10D";6541;"SCCV 28 BROSSOLETTE";"952933729";"95293372900016";"94360";"Bry-sur-Marne";"true";"28";;"Rue Pierre Brossolette";;"Noisy-le-Grand";"93160";"AW";"1102";;;;;151;4;1;1;1;1;;;"false";"false";"false";0;2;1;2;"false";"true";"false";"false";"false";9;"false";"false";"false";"false";"false";"false";"false";1;1;0;1;;;0;0;0;0;0;0;1;0;0;0;0;0;123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"11";"Île-de-France";"93";"Seine-Saint-Denis";"93051";"PC";"09305124C0027";2;"2024-06-28";;;2024;"2024-03";"2024-06";;"2024-06";32;"41.10D";6541;"SCCV 28 BROSSOLETTE";"952933729";"95293372900016";"94360";"Bry-sur-Marne";"true";"28";;"Rue Pierre Brossolette";;"Noisy-le-Grand";"93160";"AW";"1100";;;;;148;4;1;1;1;1;;;"false";"false";"false";0;2;1;2;"false";"true";"false";"false";"false";9;"false";"false";"false";"false";"false";"false";"false";1;1;0;1;;;0;0;0;0;0;0;1;0;0;0;0;0;123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"11";"Île-de-France";"93";"Seine-Saint-Denis";"93051";"PC";"09305124C0028";2;"2024-05-31";;;2024;"2024-03";"2024-05";;"2024-05";32;"41.10D";6541;"SCCV 28 BROSSOLETTE";"952933729";"95293372900016";"94360";"Bry-sur-Marne";"true";"28";;"Rue Pierre Brossolette";;"Noisy-le-Grand";"93160";"AW";"1103";;;;;155;4;1;1;1;1;;;"false";"false";"false";3;5;1;2;"false";"true";"false";"false";"false";9;"false";"false";"false";"false";"false";"false";"false";1;1;0;1;;;0;0;0;0;0;0;1;0;0;0;0;0;123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"11";"Île-de-France";"93";"Seine-Saint-Denis";"93051";"PC";"09305124C0029";2;"2024-05-31";;;2024;"2024-03";"2024-05";;"2024-05";32;"41.10D";6541;"SCCV 28 BROSSOLETTE";"952933729";"95293372900016";"94360";"Bry-sur-Marne";"true";"28";;"Rue Pierre Brossolette";;"Noisy-le-Grand";"93160";"AW";"1104";;;;;156;4;1;1;1;1;;;"false";"false";"false";3;2;1;2;"false";"true";"false";"false";"false";9;"false";"false";"false";"false";"false";"false";"false";1;1;0;1;;;0;0;0;0;0;0;1;0;0;0;0;0;123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"11";"Île-de-France";"93";"Seine-Saint-Denis";"93051";"PC";"09305124C0030";2;"2024-05-30";;;2024;"2024-03";"2024-05";;"2024-05";32;"41.10D";6541;"SCCV 28 BROSSOLETTE";"952933729";"95293372900016";"94360";"Bry-sur-Marne";"true";"28";;"Rue Pierre Brossolette";;"Noisy-le-Grand";"93160";"AW";"1105";;;;;158;4;1;1;1;1;;;"false";"false";"false";3;2;1;2;"false";"true";"false";"false";"false";9;"false";"false";"false";"false";"false";"false";"false";1;1;0;1;;;0;0;0;0;0;0;1;0;0;0;0;0;123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"11";"Île-de-France";"93";"Seine-Saint-Denis";"93051";"PC";"09305124C0034";2;"2024-08-20";;;2024;"2024-05";"2024-08";;"2024-08";10;;;;;;"93160";"NOISY-LE-GRAND";"false";"29-31";;"rue Pierre Curie";;"NOISY-LE-GRAND";"93160";"AL";"736";;;;;606;4;1;1;1;1;;;"false";"false";"false";0;5;1;7;"false";"false";"false";"false";"false";9;"false";"false";"false";"false";"false";"false";"false";1;1;0;1;;;0;0;0;0;1;0;0;0;0;0;0;0;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"11";"Île-de-France";"93";"Seine-Saint-Denis";"93051";"PC";"09305124C0035";2;"2024-07-05";;;2024;"2024-05";"2024-07";;"2024-07";10;;;;;;"93160";"NOISY-LE-GRAND";"false";;;"rue de la Providence / 15";;"NOISY-LE-GRAND";"93160";"AN";"708";;;;;288;4;1;1;1;1;;;"false";"false";"false";0;5;1;7;"false";"false";"false";"false";"false";9;"false";"false";"false";"false";"false";"false";"false";1;1;0;1;;;0;0;0;0;0;0;0;1;0;0;0;0;148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
